"","X","TENERT_22","TENERT_23","TENERT_24"
"1",2004,-0.0346580623846156,-0.0234967744707692,0.00240524672307692
"2",2005,0.0460557688707691,-0.0177295409415385,0.00245301321615385
"3",2006,0.126769600126154,-0.0119623074123077,0.00250077970923077
"4",2007,0.207483431381538,-0.00619507388307693,0.00254854620230769
"5",2008,0.288197262636923,-0.000427840353846158,0.00259631269538462
"6",2009,0.368911093892308,0.00533939317538461,0.00264407918846154
"7",2010,0.449624925147692,0.0111066267046154,0.00269184568153846
"8",2011,0.530338756403077,0.0168738602338461,0.00273961217461538
"9",2012,0.611052587658462,0.0226410937630769,0.00278737866769231
"10",2013,0.691766418913846,0.0284083272923077,0.00283514516076923
"11",2014,0.772480250169231,0.0341755608215385,0.00288291165384615
"12",2015,0.854554805509538,0.0410281279409231,0.00295147285630769
"13",2016,0.939509022926769,0.0497060037624615,0.00304601310415385
"14",2017,1.02938597470892,0.0608737015741539,0.00317293407738461
"15",2018,1.12668703792,0.075226194704,0.0033388106
"16",2019,1.234287325952,0.09355721828,0.003550545936
"17",2020,1.354017302624,0.115724580736,0.003795090896
"18",2021,1.487774172088,0.142089718104,0.004076051096
"19",2022,1.636207876152,0.171981925336,0.0043946688
"20",2023,1.79891869268,0.203804138848,0.004750848944
"21",2024,1.974887297144,0.235506165992,0.005143267608
"22",2025,2.162877917536,0.265075571168,0.005569121984
"23",2026,2.361743178888,0.290858640448,0.006024210152
"24",2027,2.574985777552,0.312949405648,0.006528833184
"25",2028,2.810673216432,0.332914167912,0.0071246628
"26",2029,3.080168706176,0.353010215744,0.007864700152
"27",2030,3.396862066416,0.375404543072,0.00880323464
"28",2031,3.774985891632,0.40166804368,0.00998893508
"29",2032,4.230153738616,0.431030169568,0.011364803584
"30",2033,4.78111969432,0.460852545088,0.012791186816
"31",2034,5.45163259476,0.487806345072,0.014100956768
"32",2035,6.272290244032,0.509049672976,0.015154691536
"33",2036,7.280634065896,0.522931324848,0.015872844768
"34",2037,8.38739470125553,0.531449599580923,0.0164833072346154
"35",2038,9.56364890532661,0.536578661934769,0.0170775807918461
"36",2039,10.7724288425812,0.540646506093539,0.0177642129516923
"37",2040,11.9677914733954,0.545397328249231,0.0186233935061538
"38",2041,13.0956940123531,0.551463741353846,0.0196814119592308
"39",2042,14.2235965513108,0.557530154458461,0.0207394304123077
"40",2043,15.3514990902685,0.563596567563077,0.0217974488653846
"41",2044,16.4794016292262,0.569662980667692,0.0228554673184615
"42",2045,17.6073041681838,0.575729393772307,0.0239134857715385
"43",2046,18.7352067071415,0.581795806876923,0.0249715042246154
"44",2047,19.8631092460992,0.587862219981538,0.0260295226776923
"45",2048,20.9910117850569,0.593928633086154,0.0270875411307692
"46",2049,22.1189143240146,0.59999504619077,0.0281455595838462
"47",2050,23.2468168629723,0.606061459295386,0.0292035780369231
